127.0.0.1 - - [16/Dec/2022:09:53:42 +0900] "GET / HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:11:38 +0900] "GET /assets/images/covers/cover_2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:11:38 +0900] "GET /assets/images/covers/cover_3.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:11:38 +0900] "GET /assets/images/covers/cover_4.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:11:38 +0900] "GET /assets/images/covers/cover_5.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET / HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /copyCatLatte/fonts/index.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /copyCatLatte/static/css/main.8d6a17ca.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /copyCatLatte/static/js/main.2576bfff.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/icons/navbar/ic_user.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/icons/navbar/ic_analytics.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/icons/navbar/ic_cart.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/icons/navbar/ic_disabled.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/icons/navbar/ic_park.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/icons/navbar/ic_lock.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/icons/navbar/ic_blog.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/icons/ic_flag_en.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/images/avatars/avatar_default.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/images/covers/cover_1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/images/covers/cover_2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/images/covers/cover_3.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/images/covers/cover_4.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /assets/images/covers/cover_5.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /copyCatLatte/manifest.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:56 +0900] "GET /copyCatLatte/favicon/android-chrome-192x192.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:13:58 +0900] "GET /dashboard/app HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:14:00 +0900] "GET /dashboard/app HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:14:08 +0900] "GET / HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:14:08 +0900] "GET /copyCatLatte/fonts/index.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:14:08 +0900] "GET /copyCatLatte/favicon/favicon-32x32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:14:08 +0900] "GET /assets/icons/navbar/ic_analytics.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:14:08 +0900] "GET /assets/icons/navbar/ic_cart.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:14:08 +0900] "GET /assets/icons/navbar/ic_user.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:14:08 +0900] "GET /assets/icons/navbar/ic_blog.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:14:08 +0900] "GET /assets/icons/navbar/ic_park.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:14:08 +0900] "GET /assets/icons/navbar/ic_lock.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:14:08 +0900] "GET /assets/icons/navbar/ic_disabled.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:14:08 +0900] "GET /assets/images/avatars/avatar_default.jpg HTTP/1.1" 404 721
